Skill_id,Skill_name
1,DFMEA
2,Architectural Acoustics
3,Acoustical
4,Psychoacoustics
5,Acoustic Measurement
6,Sound Isolation
7,Noise Control
8,Sound Quality
9,Environmental Noise
10,Acoustic Modeling
11,Vibration Control
12,Odeon
13,Speaker Acquisition
14,Noise Cancellation
15,Underwater Acoustics
16,Microphone Arrays
17,Aeroacoustics
18,Acoustic Emission
19,Audio System Design
20,Noise Reduction
21,SMAART
22,Aerospace Structures
23,AIAA
24,Astronautics
25,Orbital Mechanics
26,Astrodynamics
27,Spacecraft Design
28,Flight Dynamics
29,Trajectory Optimization
30,Flight Mechanics
31,Guidance Navigation & Control
32,XFOIL
33,Aircraft Design
34,Hypersonic
35,Aeroelasticity
36,Orbital Dynamics
37,Aircraft Propulsion
38,Aerothermodynamics
39,Space Exploration
40,Trajectory Analysis
41,Wind Tunnel
42,Autopilot
43,Avionics Integration
44,TACAN
45,Inertial Navigation
46,DO-254
47,Flight Management Systems
48,Flight Test Engineering
49,Flight Control
50,DO-160
51,NALCOMIS
52,Airworthiness Certification
53,Avionics Design
54,Adaptive Control
55,ARINC 429
56,ARINC 653
57,SCADE
58,Orbit Determination
59,MatrixX
60,State Estimation
61,Robust Control
62,Satellite Tool Kit
63,Orbit
64,Space Environment
65,Linear Systems
66,Anomaly Resolution
67,Powertrain
68,Automotive Aftermarket
69,VW
70,Automotive Electronics
71,Nissan
72,Dealer Management
73,PPAP
74,Mazda
75,Automotive Products
76,Instrument Panel
77,Fiat
78,Jaguar
79,Land Rover
80,TS16949
81,Audi
82,ETAS INCA
83,ATI Vision
84,Fuel Economy
85,Driveline
86,INCA
87,Engine Management Systems
88,Ricardo Wave
89,Vector CANalyzer
90,PHEV
91,NVH
92,ETAS
93,Vehicle Dynamics
94,Dynamometers
95,HIL
96,Vehicle Engineering
97,DVP&R
98,GT-Power
99,Controls Development
100,Internal Combustion Engines
101,AVL Boost
102,Combustion Analysis
103,Chemkin
104,DPF
105,STAR-CD
106,Fuel Injection
107,Engine Performance
108,Emissions Control
109,AVL
110,Soot
111,Combustion Systems
112,Emissions Testing
113,Thermal S
114,Timing Belts
115,Makes & Models
116,Fuel System Design
117,Engine Rebuilding
118,Automotive Electrical Systems
119,Robust Engineering
120,Electrical Diagnosis
121,AMESim
122,Tune-ups
123,Motec
124,MADYMO
125,Pamcrash
126,Radioss
127,FMVSS
128,Vehicle Safety
129,Hyperworks
130,LS-DYNA
131,Optistruct
132,Automotive Safety
133,ModeFrontier
134,Airbags
135,Pedestrian Safety
136,ANSA
137,FE analysis
138,DIAdem
139,Crash
140,Morphing
141,Structural Optimization
142,Restraints
143,Isight
144,Crashworthiness
145,Child Passenger Safety
146,CarSim
147,Vehicle Architecture
148,Vehicle Engineering
149,PHEV
150,Buick
151,Prescan
152,Sports Biomechanics
153,Tissue Mechanics
154,Gait Analysis
155,Mechanobiology
156,Locomotion
157,Motion Analysis
158,Rehabilitation Engineering
159,Gait
160,Motor Learning
161,Vicon
162,Diabetic Foot Care
163,Movement Analysis
164,Heel Pain
165,Biomedical Device Design
166,microCT
167,Mimics
168,Cartilage
169,Dartfish
170,Bunions
171,Histomorphometry
172,Sports Performance Enhancement
173,Muscle Physiology
174,Functional Movement Screen
175,Periodization
176,OpenSim
177,Muscular Endurance
178,Postural Assessment
179,Speed Training
180,Injury Treatment
181,Spinal Manipulation
182,Functional Movement
183,Constitutive Modeling
184,Contact Mechanics
185,Continuum Mechanics
186,Multiscale Modeling
187,Materials Modeling
188,Elasticity
189,Viscoelasticity
190,Mechanical Behavior of Materials
191,Fluid-Structure Interaction
192,Structural Optimization
193,Experimental Mechanics
194,PETSc
195,Structural Mechanics
196,Plasticity
197,Multiphysics Modeling
198,Applied Mechanics
199,Computational Materials Science
200,Continuum
201,Solid Mechanics
202,LAMMPS
203,Computational Mechanics
204,MASTAN
205,Non-linear Analysis
206,Structural Dynamics
207,Random Vibration
208,Modal
209,Buckling
210,Earthquake Resistant Design
211,APDL
212,FE-Safe
213,nCode
214,Shape Memory Alloys
215,Creep
216,Density Functional Theory
217,Digital Image Correlation
218,RAM Structural Systems
219,Code Design
220,ASCE 7
221,ADINA
222,Structural Systems
223,RISA
224,AASHTO
225,ASCE
226,AISC
227,Visual Analytics
228,Prestressed Concrete
229,ETABS
230,ACI Codes
231,Earthquake Engineering
232,HEC-HMS
233,IBC
234,Beams
235,Ansys
236,Q3D
237,CFX
238,ICEM CFD
239,Icepak
240,Meshing
241,Gambit
242,FE analysis
