Rank,Name ,City
1,All India Institute of  Medical Sciences ,New Delhi
1,Birla Institute of Technologyand Sciences (BITS),Pilani
1,Indian Statistical Institute,Calcutta
1,University of Delhi ,Delhi
1,Xavier Labour Relations Institute,Jamshedpur
1,Dr. B. R. Ambedkar National Institute of Technology (NIT) Jalandhar,Jalandhar
1,Malaviya National Institute of Technology (NIT) Jaipur,Jaipur
1,Maulana Azad National Institute of Technology (NIT) Bhopal,Bhopal
1,Motilal Nehru National Institute of Technology (NIT) Allahabad,Allahabad
1,NIT Agartala,Agartala
1,NIT Arunachal Pradesh,Arunachal Pradesh
1,NIT Calicut,Calicut
1,NIT Delhi,Delhi
1,NIT Durgapur,Durgapur
1,NIT Goa,Goa
1,NIT Hamirpur,Hamirpur
1,NIT Jamshedpur,Jamshedpur
1,NIT Kurukshetra,Kurukshetra
1,NIT Manipur,Manipur
1,NIT Meghalaya,Meghalaya
1,NIT Mizoram,Mizoram
1,NIT Nagaland,Nagaland
1,NIT Patna,Patna
1,NIT Puducherry,Puducherry
1,NIT Raipur,Raipur
1,NIT Rourkela,Rourkela
1,NIT Sikkim,Sikkim
1,NIT Silchar,Silchar
1,NIT Srinagar,Srinagar
1,NIT Surathkal,Surathkal
1,NIT Tiruchirappalli,Tiruchirappalli
1,NIT Uttarakhand,Uttarakhand
1,NIT Warangal,Warangal
1,Sardar Vallabhbhai National Institute of Technology (NIT) Surat,Surat
1,Visvesvaraya National Institute of Technology (NIT) Nagpur,Nagpur
1,IIT (BHU) Varanasi,(BHU) Varanasi
1,IIT Bhubaneswar,Bhubaneswar
1,IIT Bombay,Bombay
1,IIT Delhi,Delhi
1,IIT Gandhinagar,Gandhinagar
1,IIT Guwahati,Guwahati
1,IIT Hyderabad,Hyderabad
1,IIT Indore,Indore
1,IIT Kanpur,Kanpur
1,IIT Kharagpur,Kharagpur
1,IIT Madras,Madras
1,IIT Mandi,Mandi
1,IIT Patna,Patna
1,IIT Rajasthan,Rajasthan
1,IIT Roorkee,Roorkee
1,IIT Ropar,Ropar
1,ISM Dhanbad,Dhanbad
1,Indian Institute of Management Ahmedabad,Ahmedabad
1,Indian Institute of Management Bangalore,Bangalore
1,Indian Institute of Management Calcutta,Kolkata
1,Indian Institute of Management Indore,Indore
1,Indian Institute of Management Kashipur,Kashipur
1,Indian Institute of Management Kozhikode,Kozhikode
1,Indian Institute of Management Lucknow,Lucknow
1,Indian Institute of Management Nagpur,Nagpur
1,Indian Institute of Management Raipur,Raipur
1,Indian Institute of Management Ranchi,Ranchi
1,Indian Institute of Management Rohtak,Rohtak
1,Indian Institute of Management Shillong,Shillong
1,Indian Institute of Management Tiruchirappalli,Tiruchirappalli
1,Indian Institute of Management Udaipur,Udaipur
2,Agricultural Sciences University,Bangalore
2,Aligarh Muslim University,Aligarh
2,Allahabad University,Allahabad
2,Andhra Pradesh Agricultural Univ,Hyderabad
2,Andhra University,Visakhapatnam
2,Anna University,Madras
2,Annamalai University,Annamalainagar
2,Assam Agricultural University,Jorhat
2,Banaras Hindu University,Varanasi
2,Bangalore University,Bangalore
2,Barkatullah Vishwavidyalaya University,Bhopal
2,Bengal Engineering College,Howrah
2,Bhagalpur University,Bhagalpur
2,Bharathiar University,Coimbatore
2,Birendra Narayan Chakravarty University,
2,Birla Institute of Technology,"Mesra, Ranchi"
2,Central Institute of English and Foreign Languages ,Hyderabad
2,Central Institute of Higher Tibetian Studies,Varanasi
2,Chaudhry Charan Singh Haryana Agricultural University,Hisar
2,Cochin University of Science and Technology,Cochin
2,Dr Bhim Rao Ambedkar University,Agra
