title,role
product manager,product manager
product management,product manager
director of product,product manager
head of product,product manager
aerospace engineer,aerospace engineering
aerospace structures,aerospace engineering
astrodynamics,aerospace engineering
flight dynamics,aerospace engineering
flight mechanics,aerospace engineering
aircraft design,aerospace engineering
aeroelasticity,aerospace engineering
aircraft propulsion,aerospace engineering
reinforcement learning,artificial intelligence
artificial intelligence,artificial intelligence
deep learning,artificial intelligence
deep neural networks,artificial intelligence
convolutional deep neural networks,artificial intelligence
deep belief networks,artificial intelligence
convolutional deep belief networks,artificial intelligence
deep learning engineer,artificial intelligence
neural networks,artificial intelligence
artificial neural networks,artificial intelligence
restricted boltzmann machine,artificial intelligence
powertrain,automotive engineering
vehicle dynamics,automotive engineering
vehicle engineering,automotive engineering
automotive engineering,automotive engineering
powertrain calibration,automotive engineering
internal combustion engines,automotive engines
fuel system design,automotive engines
fuel injection,automotive engines
engine development,automotive engines
emissions control,automotive engines
emissions testing,automotive engines
fuel system design,automotive engines
calibration engineer,automotive engines
combustion and flow simulation,automotive engines
automotive engine,automotive engines
vehicle safety,automotive safety
automotive safety,automotive safety
crash analyst,automotive safety
crashworthiness,automotive safety
occupant restraint systems,automotive safety
hadoop,big data
big data,big data
big data architect,big data
hadoop developer,big data
big data engineer,big data
hadoop administrator,big data
business analysis,business analysis
business analyst,business analysis
market research,business analysis
strategy,business analysis
business strategy,business analysis
technology strategist,business analysis
business analysis,business analysis
business strategy,business analysis
business management,business analysis
noise and vibrations engineer,cae analysis
finte element analyst,cae analysis
fea analyst,cae analysis
fea engineer,cae analysis
durability analyst,cae analysis
nvh engineer,cae analysis
stress analyst,cae analysis
fe analysis,cae analysis
finite element analysis,cae analysis
multi body dynamics,cae analysis
cae engineer,cae analysis
cae specialist,cae analysis
duribility cae engineer,cae analysis
stress engineer,cae analysis
constitutive modeling,computational and applied mechanics
contact mechanics,computational and applied mechanics
continuum mechanics,computational and applied mechanics
multiscale modeling,computational and applied mechanics
materials modeling,computational and applied mechanics
applied mechanics,computational and applied mechanics
viscoelasticity,computational and applied mechanics
mechanical behavior of materials,computational and applied mechanics
structural optimization,computational and applied mechanics
