company_id,name,rank,karma,market_cap,sector,industry,symbol,category,exchange,share_value,ipo_year,quote_url
"1","Exxon Mobil Corporation","1","1.0","412712609831","Energy","Integrated oil Companies","XOM","Public","NYSE","93","0000","http://www.nasdaq.com/symbol/xom"
"2","Apple Inc.","1","1.0","394917793770","Technology","Computer Manufacturing","AAPL","Public","NASDAQ","421","1980","http://www.nasdaq.com/symbol/aapl"
"3","Google Inc.","1","1.0","300576735417","Technology","Computer Software: Programming, Data Processing","GOOG","Public","NASDAQ","906","2004","http://www.nasdaq.com/symbol/goog"
"4","Microsoft Corporation","1","1.0","289783398673","Technology","Computer Software: Prepackaged Software","MSFT","Public","NASDAQ","35","1986","http://www.nasdaq.com/symbol/msft"
"5","Wal-Mart Stores, Inc.","1","1.0","251550546338","Consumer Services","Department/Specialty Retail Stores","WMT","Public","NYSE","77","1970","http://www.nasdaq.com/symbol/wmt"
"6","Johnson & Johnson","1","1.0","250665072489","Health Care","Major Pharmaceuticals","JNJ","Public","NYSE","89","0000","http://www.nasdaq.com/symbol/jnj"
"7","General Electric Company","1","1.0","243406433675","Energy","Consumer Electronics/Appliances","GE","Public","NYSE","24","0000","http://www.nasdaq.com/symbol/ge"
"8","Chevron Corporation","1","1.0","238242165197","Energy","Integrated oil Companies","CVX","Public","NYSE","123","0000","http://www.nasdaq.com/symbol/cvx"
"9","Wells Fargo & Company","1","1.0","222818998734","Finance","Major Banks","WFC","Public","NYSE","42","0000","http://www.nasdaq.com/symbol/wfc"
"10","Procter & Gamble Company (The)","1","1.0","218713712452","Basic Industries","Package Goods/Cosmetics","PG","Public","NYSE","80","0000","http://www.nasdaq.com/symbol/pg"
"11","International Business Machines Corporation","1","1.0","213165722631","Technology","Computer Manufacturing","IBM","Public","NYSE","192","0000","http://www.nasdaq.com/symbol/ibm"
"12","PetroChina Company Limited","1","1.0","212816792986","Energy","Oil & Gas Production","PTR","Public","NYSE","116","2000","http://www.nasdaq.com/symbol/ptr"
"13","China Mobile (Hong Kong) Ltd.","1","1.0","207958123848","Public Utilities","Telecommunications Equipment","CHL","Public","NYSE","52","1997","http://www.nasdaq.com/symbol/chl"
"14","J P Morgan Chase & Co","1","1.0","207239636506","Finance","Major Banks","JPM","Public","NYSE","55","0000","http://www.nasdaq.com/symbol/jpm"
"15","Pfizer, Inc.","1","1.0","200951456545","Health Care","Major Pharmaceuticals","PFE","Public","NYSE","28","0000","http://www.nasdaq.com/symbol/pfe"
"16","Toyota Motor Corp Ltd Ord","1","1.0","200767466121","Capital Goods","Auto Manufacturing","TM","Public","NYSE","127","1979","http://www.nasdaq.com/symbol/tm"
"17","HSBC Holdings plc","1","1.0","194666847376","Finance","Savings Institutions","HBC","Public","NYSE","54","0000","http://www.nasdaq.com/symbol/hbc"
"18","AT&T Inc.","1","1.0","190398200000","Public Utilities","Telecommunications Equipment","T","Public","NYSE","35","0000","http://www.nasdaq.com/symbol/t"
"19","Coca-Cola Company (The)","1","1.0","181178765401","Consumer Non-Durables","Beverages (Production/Distribution)","KO","Public","NYSE","41","0000","http://www.nasdaq.com/symbol/ko"
"20","Fomento Economico Mexicano S.A.B. de C.V.","1","1.0","179913216856","Consumer Non-Durables","Beverages (Production/Distribution)","FMX","Public","NYSE","101","0000","http://www.nasdaq.com/symbol/fmx"
"21","Novartis AG","1","1.0","177656513782","Health Care","Major Pharmaceuticals","NVS","Public","NYSE","72","0000","http://www.nasdaq.com/symbol/nvs"
"22","Boeing Company (The)","1","1.0","160081738475","Capital Goods","Aerospace","BA","Public","NYSE","106","0000","http://www.nasdaq.com/symbol/ba"
"23","BHP Billiton Limited","1","1.0","155783644135","Basic Industries","Precious Metals","BHP","Public","NYSE","58","0000","http://www.nasdaq.com/symbol/bhp"
"24","Citigroup Inc.","1","1.0","151018362698","Finance","Major Banks","C","Public","NYSE","50","0000","http://www.nasdaq.com/symbol/c"
"25","Verizon Communications Inc.","1","1.0","149983015414","Public Utilities","Telecommunications Equipment","VZ","Public","NYSE","51","0000","http://www.nasdaq.com/symbol/vz"
"26","Visa Inc.","1","1.0","147866313185","Miscellaneous","Business Services","V","Public","NYSE","187","0000","http://www.nasdaq.com/symbol/v"
"27","Anheuser-Busch Inbev SA","1","1.0","146065700000","Consumer Non-Durables","Beverages (Production/Distribution)","BUD","Public","NYSE","91","0000","http://www.nasdaq.com/symbol/bud"
"28","Merck & Company, Inc.","1","1.0","144820584038","Health Care","Major Pharmaceuticals","MRK","Public","NYSE","48","0000","http://www.nasdaq.com/symbol/mrk"
"29","Philip Morris International Inc","1","1.0","144627900370","Consumer Non-Durables","Farming/Seeds/Milling","PM","Public","NYSE","88","0000","http://www.nasdaq.com/symbol/pm"
"30","Oracle Corporation","1","1.0","144620102610","Technology","Computer Software: Prepackaged Software","ORCL","Public","NASDAQ","31","1986","http://www.nasdaq.com/symbol/orcl"
"31","Bank of America Corporation","1","1.0","144133644300","Finance","Major Banks","BAC","Public","NYSE","13","0000","http://www.nasdaq.com/symbol/bac"
"32","Vodafone Group Plc","1","1.0","139795764569","Public Utilities","Telecommunications Equipment","VOD","Public","NASDAQ","29","0000","http://www.nasdaq.com/symbol/vod"
"33","BHP Billiton plc","1","1.0","137841518282","Energy","Coal Mining","BBL","Public","NYSE","52","0000","http://www.nasdaq.com/symbol/bbl"
"34","Cisco Systems, Inc.","1","1.0","135799578116","Technology","Computer Communications Equipment","CSCO","Public","NASDAQ","25","1990","http://www.nasdaq.com/symbol/csco"
"35","Sanofi","1","1.0","134957951379","Health Care","Major Pharmaceuticals","SNY","Public","NYSE","51","0000","http://www.nasdaq.com/symbol/sny"
"36","BP p.l.c.","1","1.0","133615341555","Energy","Integrated oil Companies","BP","Public","NYSE","42","0000","http://www.nasdaq.com/symbol/bp"
"37","Amazon.com, Inc.","1","1.0","133081096737","Consumer Services","Catalog/Specialty Distribution","AMZN","Public","NASDAQ","292","1997","http://www.nasdaq.com/symbol/amzn"
"38","GlaxoSmithKline PLC","1","1.0","128549140888","Health Care","Major Pharmaceuticals","GSK","Public","NYSE","52","0000","http://www.nasdaq.com/symbol/gsk"
"39","Pepsico, Inc.","1","1.0","128337090231","Consumer Non-Durables","Beverages (Production/Distribution)","PEP","Public","NYSE","83","0000","http://www.nasdaq.com/symbol/pep"
"40","Unilever PLC","1","1.0","124897462879","Basic Industries","Package Goods/Cosmetics","UL","Public","NYSE","41","0000","http://www.nasdaq.com/symbol/ul"
"41","Unilever NV","1","1.0","121600339252","Basic Industries","Package Goods/Cosmetics","UN","Public","NYSE","40","0000","http://www.nasdaq.com/symbol/un"
"42","Walt Disney Company (The)","1","1.0","116899111856","Consumer Services","Television Services","DIS","Public","NYSE","65","0000","http://www.nasdaq.com/symbol/dis"
"43","Home Depot, Inc. (The)","1","1.0","115987233604","Consumer Services","RETAIL: Building Materials","HD","Public","NYSE","79","1981","http://www.nasdaq.com/symbol/hd"
"44","Intel Corporation","1","1.0","115575750000","Technology","Semiconductors","INTC","Public","NASDAQ","23","1971","http://www.nasdaq.com/symbol/intc"
"45","Companhia de Bebidas das Americas - AmBev","1","1.0","113911796240","Consumer Non-Durables","Beverages (Production/Distribution)","ABV","Public","NYSE","37","0000","http://www.nasdaq.com/symbol/abv"
"46","Comcast Corporation","1","1.0","112999838851","Consumer Services","Television Services","CMCSA","Public","NASDAQ","43","1972","http://www.nasdaq.com/symbol/cmcsa"
"47","TotalFinaElf, S.A.","1","1.0","111567735870","Energy","Oil & Gas Production","TOT","Public","NYSE","49","0000","http://www.nasdaq.com/symbol/tot"
"48","Comcast Corporation","1","1.0","109399516557","Consumer Services","Television Services","CMCSK","Public","NASDAQ","41","0000","http://www.nasdaq.com/symbol/cmcsk"
"49","QUALCOMM Incorporated","1","1.0","104430373450","Technology","Radio And Television Broadcasting And Communications Equipme","QCOM","Public","NASDAQ","60","1991","http://www.nasdaq.com/symbol/qcom"
"50","Schlumberger N.V.","1","1.0","101277507247","Energy","Oilfield Services/Equipment","SLB","Public","NYSE","76","0000","http://www.nasdaq.com/symbol/slb"
"51","McDonald's Corporation","1","1.0","100234841122","Consumer Services","Restaurants","MCD","Public","NYSE","100","0000","http://www.nasdaq.com/symbol/mcd"
"52","British American Tobacco p.l.c.","1","1.0","100228101534","Consumer Non-Durables","Farming/Seeds/Milling","BTI","Public","AMEX","105","0000","http://www.nasdaq.com/symbol/bti"
"53","Taiwan Semiconductor Manufacturing Company Ltd.","1","1.0","92511931776","Technology","Semiconductors","TSM","Public","NYSE","18","1997","http://www.nasdaq.com/symbol/tsm"
"54","VALE S.A.","1","1.0","91506094548","Basic Industries","Precious Metals","VALE","Public","NYSE","13","1991","http://www.nasdaq.com/symbol/vale"
"55","Mitsubishi UFJ Financial Group Inc","1","1.0","91106804839","Finance","Commercial Banks","MTU","Public","NYSE","6","1992","http://www.nasdaq.com/symbol/mtu"
"56","United Technologies Corporation","1","1.0","89898416431","Capital Goods","Aerospace","UTX","Public","NYSE","98","0000","http://www.nasdaq.com/symbol/utx"
"57","Siemens AG","1","1.0","88716709806","Energy","Consumer Electronics/Appliances","SI","Public","NYSE","105","1988","http://www.nasdaq.com/symbol/si"
"58","SAP AG","1","1.0","85586028731","Technology","Computer Software: Prepackaged Software","SAP","Public","NYSE","72","0000","http://www.nasdaq.com/symbol/sap"
"59","United Parcel Service, Inc.","1","1.0","85217363153","Transportation","Trucking Freight/Courier Services","UPS","Public","NYSE","90","1999","http://www.nasdaq.com/symbol/ups"
"60","Gilead Sciences, Inc.","1","1.0","84397937797","Health Care","Biotechnology: Biological Products (No Diagnostic Substances","GILD","Public","NASDAQ","55","1992","http://www.nasdaq.com/symbol/gild"
"61","Royal Bank Of Canada","1","1.0","84122831945","Finance","Commercial Banks","RY","Public","NYSE","58","0000","http://www.nasdaq.com/symbol/ry"
"62","American Express Company","1","1.0","83859085712","Finance","Finance: Consumer Services","AXP","Public","NYSE","76","0000","http://www.nasdaq.com/symbol/axp"
"63","Westpac Banking Corporation","1","1.0","81944655170","Finance","Commercial Banks","WBK","Public","NYSE","132","0000","http://www.nasdaq.com/symbol/wbk"
"64","America Movil, S.A.B. de C.V.","1","1.0","81031975000","Public Utilities","Telecommunications Equipment","AMX","Public","NYSE","21","0000","http://www.nasdaq.com/symbol/amx"
"65","Petroleo Brasileiro S.A.- Petrobras","1","1.0","80158433635","Energy","Oil & Gas Production","PBR","Public","NYSE","12","0000","http://www.nasdaq.com/symbol/pbr"
