company_name,industry,tier,Location-1,Location-2
"24/7 inc",analytics,1,Bangalore,
absolutdata,analytics,1,Hyderabad,Gurgaon
accenture,analytics,1,Gurgaon,Bangalore
actiknow consulting delhi,analytics,3,Delhi,
airtel,analytics,1,Gurgaon,
amazon,analytics,1,Chennai,
amba research,analytics,2,Bangalore,
ameriprise,analytics,2,,
amex(american express),analytics,1,Gurgaon,
analytics eye,analytics,3,Bangalore,
analytics quotient,analytics,1,Bangalore,
anz,analytics,2,Bangalore,
aol,analytics,2,,
bank of america,analytics,2,Gurgaon,Hyderabad
barclays bank,analytics,2,Noida,Hyderabad
bharatmatrimony.com,analytics,3,Chennai,Hyderabad
boston analytics,analytics,1,,Gurgoan
bravo lucy,analytics,3,Hyderabad,
bridgei2i analytics solutions,analytics,2,Bangalore,
calimere,analytics,3,,
capital one,analytics,1,Bangalore,Gurgaon
caterpillar,analytics,2,Chennai,
citibank,analytics,1,Mumbai,Bangalore
cognizant,analytics,2,Bangalore,Gurgaon
copalpartners,analytics,1,Gurgaon,
cytel softwares,analytics,3,Pune,Cambridge
decidyn,analytics,3,,
dell,analytics,2,Bangalore,
deloitte,analytics,1,Hyderabad,
denuosource,analytics,2,Hyderabad,
dexterity,analytics,2,Chennai,
diamond management consultants.,analytics,1,,
dun & bradstreet,analytics,1,Chennai,
dunnhumby,analytics,1,Gurgaon,
ebay,analytics,1,Chennai,
ekcelon,analytics,2,Bangalore,
equifax,analytics,2,,
fair isaac india,analytics,1,Bangalore,
fidelity,analytics,1,Bangalore,
first order analytics.,analytics,2,,
ford business service center pvt. ltd.,analytics,2,Chennai,
fractal analytics,analytics,1,Bangalore,Mumbai
ge money,analytics,2,Hyderabad,
general mills,analytics,3,Mumbai,
genpact,analytics,1,Gurgaon,Bangalore
global analytics,analytics,1,Chennai,
global data,analytics,3,Hyderabad,
hdfc bank,analytics,2,Mumbai,
hewitt associates(now aon-hr analytics),analytics,2,Delhi/NCR,
hp,analytics,2,Bangalore,Gurgaon
hsbc,analytics,1,Bangalore,Kolkata
ibm,analytics,2,Bangalore,Mumbai
icici bank,analytics,2,Mumbai,
icici securities,analytics,2,Mumbai,
icon,analytics,3,Chennai,
