company_name,industry,tier
24/7 inc,analytics,1
absolutdata,analytics,1
accenture,analytics,1
actiknow consulting delhi,analytics,3
airtel,analytics,1
amazon,analytics,1
amba research,analytics,2
ameriprise,analytics,2
amex(american express),analytics,1
analytics eye,analytics,3
analytics quotient,analytics,1
anz,analytics,2
aol,analytics,2
bank of america,analytics,2
barclays bank,analytics,2
bharatmatrimony.com,analytics,3
boston analytics,analytics,1
bravo lucy,analytics,3
bridgei2i analytics solutions,analytics,2
calimere,analytics,3
capital one,analytics,1
caterpillar,analytics,2
citibank,analytics,1
cognizant,analytics,2
copalpartners,analytics,1
cytel softwares,analytics,3
decidyn,analytics,3
dell,analytics,2
deloitte,analytics,1
denuosource,analytics,2
dexterity,analytics,2
diamond management consultants.,analytics,1
dun & bradstreet,analytics,1
dunnhumby,analytics,1
ebay,analytics,1
ekcelon,analytics,2
equifax,analytics,2
fair isaac india,analytics,1
fidelity,analytics,1
first order analytics.,analytics,2
ford business service center pvt. ltd.,analytics,2
fractal analytics,analytics,1
ge money,analytics,2
general mills,analytics,3
genpact,analytics,1
global analytics,analytics,1
global data,analytics,3
hdfc bank,analytics,2
hewitt associates(now aon-hr analytics),analytics,2
hp,analytics,2
hsbc,analytics,1
ibm,analytics,2
icici bank,analytics,2
icici securities,analytics,2
icon,analytics,3
idea,analytics,2
indegene,analytics,3
inductis (an exl company),analytics,1
infosys,analytics,2
intouch analytics,analytics,3
ipsos,analytics,3
irevena,analytics,2
jigyasa analytics,analytics,3
john deere(inhouse analytics),analytics,2
jpmorgan chase,analytics,1
kairoleaf,analytics,3
kiesquare analytics,analytics,2
knowledge foundry,analytics,3
koncept analytics,analytics,3
latentview analytics,analytics,1
lehmann brothers (nomura),analytics,1
morgan stanley,analytics,1
madison business analytics,analytics,2
market equations,analytics,3
marketics-(now wns),analytics,1
marketrx(now cognizant),analytics,1
mathema analytics gurgaon,analytics,3
meritus global,analytics,2
microsoft,analytics,1
modelytics,analytics,2
mu-sigma,analytics,1
netpositive,analytics,2
nielsen,analytics,1
nokia networks,analytics,2
novartis inc,analytics,1
pharmarc analytic solution.,analytics,2
pipalresearch,analytics,2
prudential,analytics,1
quattro,analytics,2
rbs,analytics,1
rci,analytics,3
redpill solutions (ibm daksh),analytics,3
rmsi,analytics,3
rsg media systems,analytics,3
sbi-ge,analytics,2
scope international,analytics,2
smartanalyst,analytics,2
standard chartered bank,analytics,2
swiss re,analytics,2
symphony services,analytics,1
target corp,analytics,1
tata strategic management,analytics,1
tcs,analytics,2
teg analytics bangalore,analytics,2
tesco,analytics,2
the smart cube,analytics,1
transorg,analytics,1
transunion,analytics,2
trendwise analytics,analytics,2
vodafone telecommunications,analytics,2
wipro,analytics,3
wns,analytics,2
yes bank,analytics,2
zs associates,analytics,1
google ,product,1
amazon ,product,1
facebook,product,1
aol ,product,1
sun ,product,3
oracle ,product,2
mcafee ,product,1
emc-square ,product,1
microsoft ,product,1
yahoo! ,product,2
goldman sachs ,product,1
e&y ,product,3
netapp ,product,1
ibm (isl) ,product,3
hp ,product,3
sap ,product,2
huawei ,product,2
mportal ,product,3
teledna ,product,3
vmware ,product,1
onmobile ,product,2
nds,product,3
omniture,product,3
mckinsey,analytics,1
bain capability centre,analytics,1
boston consulting group,analytics,1
absolute infotech pvt ltd,IT,3
access automation pvt ltd,IT,3
adeptpros it solutions pvt ltd.,IT,3
adps consulting,IT,3
advanz knowledge systems pvt ltd,IT,3
alyosha consultancy service,IT,3
ambujex technologies (p) ltd,IT,3
amplus group,IT,3
anand software and training,IT,3
anush infobase,IT,3
apps reach,IT,3
ariane techno solutions,IT,3
aufait technologies pvt ltd,IT,3
avankia,IT,3
avekshaa technologies,IT,3
avishkaar techno solutions private limited,IT,3
axxonet solutions india,IT,3
bavales software solutions pvt ltd,IT,3
baymap systems,IT,3
bfsi software consulting (p) ltd,IT,3
big ben solutions,IT,3
biretail solutions (india) pvt ltd,IT,3
blis,IT,3
caddons computer services pvt ltd,IT,3
calcue info services pvt ltd,IT,3
cerulean information technology pvt ltd,IT,3
channelsoftech pvt ltd,IT,3
chimera technologies pvt ltd,IT,3
clockwork business solutions (p) ltd,IT,3
cloudnix software lab,IT,3
cogitate consulting private limited,IT,3
competensys solutions,IT,3
cosmonet solutions pvt ltd,IT,3
craft silicon pvt limited,IT,3
creosky software pvt ltd,IT,3
cross-tab,IT,3
24/7 customer pvt ltd,IT,3
247 learning solutions pvt ltd,IT,3
accenture services pvt ltd,IT,1
accord software & systems pvt ltd,IT,3
acme insurance services pvt ltd,IT,3
adaptec (india) pvt ltd,IT,3
adea international pvt ltd,IT,3
aditi technologies pvt ltd,IT,3
affiliated computer services of india (p) ltd (acs),IT,3
ajax.com pvt ltd,IT,3
akamai technologies india pvt ltd,IT,1
altair engineering india pvt ltd,IT,3
antares systems ltd,IT,3
anz information technology pvt. ltd.,IT,3
arowana consulting ltd,IT,3
artech infosystems pvt ltd,IT,3
ascendas property management services (india) pvt ltd,IT,3
asm technologies ltd,IT,3
aspect technology center (india) pvt ltd,IT,3
avaya globalconnect ltd,IT,1
axes technologies (i) pvt ltd,IT,3
aztecsoft ltd,IT,2
baehal software limited,IT,3
bahwan cybertek pvt ltd,IT,3
bangalore softsell ltd,IT,3
bells softech limited,IT,3
beml technology division (a div of bharat earth movers ltd),IT,3
bharti telesoft ltd.,IT,2
blue chip computer consultants pvt ltd,IT,3
blue star infotech ltd,IT,2
borland india pvt ltd,IT,3
business process outsourcing (india) pvt ltd,IT,3
c1 india pvt ltd,IT,3
cable and wireless (india) ltd,IT,3
cadence design systems india pvt. ltd,IT,3
cades digitech pvt ltd,IT,3
canarys automation pvt ltd,IT,3
canbank computer services ltd.,IT,2
capco it services india pvt ltd,IT,3
capital one services (india) pvt ltd,IT,1
