query,name,website,overallRating,industry,numberOfRatings
Arohan Financial Services Pvt Ltd,Arohan Financial,www.arohan.in,2.0,Investment Banking & Asset Management,4
Intellectual Capital,Axis Intellectual Capital,www.axis-ics.com,2.0,Legal,1
Akamai Technologies,Akamai,www.akamai.com,4.0,IT Services,484
Fractal Analytics,Fractal Analytics,www.fractalanalytics.com,3.5,Consulting,287
Search Light,Record Searchlight,www.redding.com,2.0,News Outlet,3
PayPal India Pvt Ltd,PayPal,www.paypal.com,3.6,Internet,1293
Elixir Consulting,Elixir Consulting,www.elixir-consulting.com,2.0,Consulting,4
Deepak Fertilisers And Petrochemicals Corporation Ltd,Deepak Fertilisers & Petrochemicals Corp.,www.dfpcl.com,2.0,,8
Franchise India Limited,GE Capital,www.gecapital.com,3.7,Investment Banking & Asset Management,988
Career Maker,Ammwaiy Career Advisors,,1.0,Staffing & Outsourcing,1
Enterprise IT Solutions,Enterprise IT Solutions,www.enterpriseits.com,2.0,Enterprise Software & Network Solutions,2
GVK,GVK BioScience,www.gvkbio.com,3.3,Biotech & Pharmaceuticals,14
Anisa Holdings Pvt Ltd,Anisa International,www.anisa.com,2.0,Consumer Products Manufacturing,4
Siemens Limited,Siemens,www.siemens.com,3.6,Electrical & Electronic Manufacturing,1557
Dunnhumby India Pvt Ltd,Dunnhumby,www.dunnhumby.com,3.5,Consulting,176
Global Professional Services,Global-Qatar,www.global-qatar.com,2.0,Oil & Gas Services,0
Flextronics,Flextronics,www.flextronics.com,3.3,Electrical & Electronic Manufacturing,714
Future Makers,Future Makers Management Consultants,,2.0,Accounting,1
TalPro,TALPRO,www.talpro.in,2.0,,0
Altruist Technologies Pvt. Ltd,Altruist Technologies,www.altruistindia.com,2.0,IT Services,3
Blueocean market Intelligence,Blueocean Market Intelligence,www.blueoceanmi.com,2.7,Advertising & Marketing,33
Accenture,Accenture,www.accenture.com,3.6,Consulting,13741
Kindlebit Solutions,kindlebit solutions,www.kindlebit.com,2.9,IT Services,15
Propellant Consultants hiring for A leading distribution house,Propel London,www.propellondon.com,2.0,Advertising & Marketing,9
