title,role
product manager,product manager
product management,product manager
director of product,product manager
head of product,product manager
big data architect,big data
hadoop developer,big data
big data engineer,big data
hadoop administrator,big data
business analysis,business analysis
business analyst,business analysis
market research,business analysis
strategy,business analysis
business strategy,business analysis
technology strategist,business analysis
business analysis,business analysis
business strategy,business analysis
business management,business analysis
quantitative modeling,data analysis
quantitative development,data analysis
data visualization,data analysis
tableau,data analysis
statistical modeling,data analysis
data analyst,data analysis
data analytics,data analysis
data analysis,data analysis
business analytics,data analysis
business intelligence,data analysis
quantitative,data analysis
data engineer,data engineering
data architect,data engineering
etl architect,data engineering
etl engineer,data engineering
data munging,data science
data products,data science
apache mahout,data science
recommender systems,data science
data science,data science
web scraping,data science
web crawling,data science
text mining,data science
natural language processing,data science
predictive analytics,data science
predictive modeling,data science
machine learning,data science
data analytics,data science
text classification,data science
text analysis,data science
statistical machine translation,data science
computational semantics,data science
web mining,data science
semantic search,data science
lexical semantics,data science
information retrieval,data science
image processing,data science
convex optimization,data science
bayesian networks,data science
anomaly detection,data science
social network analytics,data science
probabilistic models,data science
data scientist,data science
data science,data science
data mining,data science
data science,data science
natural language processing,natural language processing
sentiment analysis,natural language processing
computational linguistics,natural language processing
semantic analysis,natural language processing
